# p1 - c1 sync,p2 - c2 sync,c1 - p1,c2 - p2
4178.47896,2114.52293,16.00599,15.15579
7.17115,8.25500,13.63301,13.68999
7.64704,14.97602,13.30185,48.52700
7.63893,12.87389,15.07616,12.10594
6.95586,8.00800,15.01608,14.96100
23.25106,7.31206,16.13593,15.57302
18.01801,8.09813,12.49504,12.24518
12.62593,7.46894,11.75117,37.06789
14.66680,6.82211,12.49409,12.75802
7.06911,7.23195,12.88700,14.88400
7.67303,6.92797,12.16483,12.00294
24.48916,18.55898,12.53486,12.17008
7.09414,16.43515,13.68308,12.08401
6.72221,8.26502,12.72893,14.58001
17.71593,7.34210,15.65218,14.06002
12.06613,7.52115,13.53192,13.23390
6.88887,8.16584,12.15410,14.21905
7.92885,12.33721,11.63983,14.06908
11.51180,18.98003,16.23487,48.07806
7.08222,17.55118,12.49409,12.05802
7.84397,10.78200,14.95218,15.15007
8.59618,13.03792,12.55202,11.92594
7.72905,7.65014,13.53383,12.78687
7.07603,7.37000,12.24208,13.88979
8.83698,7.67517,14.75906,13.96203
13.90815,7.18689,12.78210,11.78288
23.55909,7.82013,38.10811,17.21811
7.08389,11.11197,11.94501,12.91609
6.91509,8.12197,12.52389,11.87515
7.21622,18.93401,12.70604,13.62896
6.91414,7.11203,13.48305,13.64088
7.21908,7.08008,12.73894,14.35709
30.40600,15.61713,12.87484,13.86690
11.47890,16.58201,12.67791,13.52906
7.14111,18.35704,12.80808,13.08703
7.51591,7.05194,14.91594,14.64415
6.58011,11.16395,12.55798,11.75404
6.74081,14.43815,13.28206,15.07092
7.32207,7.78913,13.00311,14.94193
6.61111,13.52286,12.60114,14.08601
6.40416,6.57487,23.07200,13.44395
24.79386,9.86099,11.66916,12.85195
7.31111,6.83308,11.84607,12.13098
9.11903,6.92296,12.49194,12.61282
18.29100,6.91605,11.76500,13.51881
6.93703,7.19094,11.88278,12.32195
15.75899,7.39908,12.17389,12.67600
8.67414,8.22186,13.67307,13.04889
7.82204,10.80704,11.97004,11.49797
14.81581,13.31997,12.02488,12.33912
19.56081,15.28215,14.21309,11.68609
8.28695,16.40987,11.73997,12.95996
7.03406,12.18390,13.12184,11.93595
7.06387,7.28393,12.68721,13.09299
9.57298,7.02214,13.43012,14.30702
19.60993,10.95700,13.60297,12.77900
18.04090,16.72006,11.34396,12.95805
7.90095,19.06085,12.21204,12.32195
6.92677,8.14009,12.34484,11.95192
19.05608,12.79521,12.00199,13.08012
8.54301,6.75178,12.15386,12.99310
7.37309,8.70204,12.66694,13.22103
7.22694,6.92487,13.15093,14.33706
7.04694,13.11302,12.76612,11.59716
13.81016,18.91899,12.52198,12.71486
15.32197,15.46597,12.07805,12.13288
17.96508,7.46989,15.21802,12.86507
31.65412,7.22814,12.41517,12.43496
7.23505,16.30092,12.10594,15.55490
15.30504,9.48596,12.31909,12.57610
8.85510,20.50686,12.33411,11.62314
10.06889,7.41792,12.37202,13.24701
7.08389,7.12991,13.32712,15.83195
13.04293,7.25818,12.57586,12.54678
7.76315,7.20000,15.84291,13.02385
8.09503,19.58489,13.14306,12.15196
13.59987,9.38416,12.41803,13.15212
7.21407,6.90508,12.98308,12.77304
7.88784,14.81605,13.21006,12.67314
19.27805,6.86383,12.55989,12.80785
13.13400,7.45606,14.00089,14.25505
19.48214,7.71213,12.33387,15.89394
10.61583,9.14407,11.88898,15.31005
7.65800,7.18212,14.14394,12.62403
7.89905,7.39288,13.36002,15.15889
21.11912,8.44789,12.13408,15.87701
20.98298,7.90715,12.19702,12.75206
6.65903,11.51299,12.27903,12.47716
6.82211,16.53409,12.30717,12.37702
18.47601,13.12709,11.48891,11.64103
11.59406,7.16805,14.17494,63.00879
7.08604,10.11801,12.75802,11.73115
6.75106,7.35497,14.79006,15.33103
12.64501,8.16703,12.22801,12.33697
15.02800,7.45916,64.09717,12.35509
18.11790,6.99210,12.17389,12.55393
7.56288,7.23195,14.10389,12.66098
12.36200,7.50899,116.52493,13.12208
11.10411,8.09598,13.43298,13.61704
7.87401,7.59506,13.96799,13.10802
12.28714,22.12596,12.73704,12.63714
